hv(eV),n(hV),I(hv)(eV),eta_SQ,eta_UL
4.2827,204409000000.0,1.402581e-07,0.0,0.0
4.2901,55142820000.0,3.790249e-08,0.0,0.0
4.2975,16732560000.0,1.152108e-08,0.0,0.0
4.305,6046172000.0,4.170274e-09,0.0,0.0
4.3125,1052002000.0,7.268679e-10,0.0,0.0
4.32,262681800.0,1.818129e-10,0.0,0.0
4.3275,80037630.0,5.549402e-11,0.0,0.0
4.3351,12997750.0,9.027737e-12,0.0,0.0
4.3427,4026406.0,2.801484e-12,0.0,0.0
4.3503,753272.2,5.250294e-13,0.0,0.0
4.358,232399.5,1.622667e-13,0.0,0.0
4.3656,67587.65,4.727435e-14,0.0,0.0
4.3733,3271.362,2.292198e-15,0.0,0.0
4.3811,1698.087,1.191928e-15,0.0,0.0
4.3888,415.9227,2.924629e-16,0.0,0.0
4.3966,108.7745,7.662218e-17,0.0,0.0
4.4044,14.18533,1.001009e-17,0.0,0.0
4.4122,0.5125665,3.623435e-19,0.0,0.0
4.4201,0.1102828,7.810012e-20,0.0,0.0
